PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25388133","Leptospirosis in humans","Haake DA, Levett PN.","Curr Top Microbiol Immunol. 2015;387:65-97. doi: 10.1007/978-3-662-45059-8_5.","Haake DA","Curr Top Microbiol Immunol","2015","2014/11/13","PMC4442676","NIHMS690013","10.1007/978-3-662-45059-8_5"
"30833735","Past and future spread of the arbovirus vectors Aedes aegypti and Aedes albopictus","Kraemer MUG, Reiner RC Jr, Brady OJ, Messina JP, Gilbert M, Pigott DM, Yi D, Johnson K, Earl L, Marczak LB, Shirude S, Davis Weaver N, Bisanzio D, Perkins TA, Lai S, Lu X, Jones P, Coelho GE, Carvalho RG, Van Bortel W, Marsboom C, Hendrickx G, Schaffner F, Moore CG, Nax HH, Bengtsson L, Wetter E, Tatem AJ, Brownstein JS, Smith DL, Lambrechts L, Cauchemez S, Linard C, Faria NR, Pybus OG, Scott TW, Liu Q, Yu H, Wint GRW, Hay SI, Golding N.","Nat Microbiol. 2019 May;4(5):854-863. doi: 10.1038/s41564-019-0376-y. Epub 2019 Mar 4.","Kraemer MUG","Nat Microbiol","2019","2019/03/06","PMC6522366","EMS81409","10.1038/s41564-019-0376-y"
"29845523","Reliable Serological Testing for the Diagnosis of Emerging Infectious Diseases","Ohst C, Saschenbrecker S, Stiba K, Steinhagen K, Probst C, Radzimski C, Lattwein E, Komorowski L, Stöcker W, Schlumberger W.","Adv Exp Med Biol. 2018;1062:19-43. doi: 10.1007/978-981-10-8727-1_3.","Ohst C","Adv Exp Med Biol","2018","2018/05/31","","","10.1007/978-981-10-8727-1_3"
"30404142","Effects of the Environmental Temperature on Aedes aegypti and Aedes albopictus Mosquitoes: A Review","Reinhold JM, Lazzari CR, Lahondère C.","Insects. 2018 Nov 6;9(4):158. doi: 10.3390/insects9040158.","Reinhold JM","Insects","2018","2018/11/09","PMC6316560","","10.3390/insects9040158"
"8604175","Global climate change and emerging infectious diseases","Patz JA, Epstein PR, Burke TA, Balbus JM.","JAMA. 1996 Jan 17;275(3):217-23.","Patz JA","JAMA","1996","1996/01/17","","",""
"31242144","2019: A Year of Challenges and Change","","MEDICC Rev. 2019 Jan;21(1):3.","","MEDICC Rev","2019","2019/06/27","","",""
"31927301","Reviewing estimates of the basic reproduction number for dengue, Zika and chikungunya across global climate zones","Liu Y, Lillepold K, Semenza JC, Tozan Y, Quam MBM, Rocklöv J.","Environ Res. 2020 Mar;182:109114. doi: 10.1016/j.envres.2020.109114. Epub 2020 Jan 3.","Liu Y","Environ Res","2020","2020/01/14","","","10.1016/j.envres.2020.109114"
"30919662","Climate change and dengue risk in central region of Thailand","Langkulsen U, Promsakha Na Sakolnakhon K, James N.","Int J Environ Health Res. 2020 Jun;30(3):327-335. doi: 10.1080/09603123.2019.1599100. Epub 2019 Mar 28.","Langkulsen U","Int J Environ Health Res","2020","2019/03/29","","","10.1080/09603123.2019.1599100"
"30596764","Mapping the global potential distributions of two arboviral vectors Aedes aegypti and Ae. albopictus under changing climate","Kamal M, Kenawy MA, Rady MH, Khaled AS, Samy AM.","PLoS One. 2018 Dec 31;13(12):e0210122. doi: 10.1371/journal.pone.0210122. eCollection 2018.","Kamal M","PLoS One","2018","2019/01/01","PMC6312308","","10.1371/journal.pone.0210122"
"26179810","Emerging and changing viral diseases in the new millennium","Scully C, Samaranayake LP.","Oral Dis. 2016 Apr;22(3):171-9. doi: 10.1111/odi.12356. Epub 2015 Aug 6.","Scully C","Oral Dis","2016","2015/07/17","PMC7167660","","10.1111/odi.12356"
"29220773","Climate change and dengue fever transmission in China: Evidences and challenges","Li C, Lu Y, Liu J, Wu X.","Sci Total Environ. 2018 May 1;622-623:493-501. doi: 10.1016/j.scitotenv.2017.11.326. Epub 2017 Dec 13.","Li C","Sci Total Environ","2018","2017/12/09","","","10.1016/j.scitotenv.2017.11.326"
"30984169","Infectious Disease Threats in the Twenty-First Century: Strengthening the Global Response","Bloom DE, Cadarette D.","Front Immunol. 2019 Mar 28;10:549. doi: 10.3389/fimmu.2019.00549. eCollection 2019.","Bloom DE","Front Immunol","2019","2019/04/16","PMC6447676","","10.3389/fimmu.2019.00549"
"33245883","Knowledge, attitudes, and practices on climate change and dengue in Lao People's Democratic Republic and Thailand","Rahman MS, Overgaard HJ, Pientong C, Mayxay M, Ekalaksananan T, Aromseree S, Phanthanawiboon S, Zafar S, Shipin O, Paul RE, Phommachanh S, Pongvongsa T, Vannavong N, Haque U.","Environ Res. 2020 Nov 24:110509. doi: 10.1016/j.envres.2020.110509. Online ahead of print.","Rahman MS","Environ Res","2020","2020/11/27","","","10.1016/j.envres.2020.110509"
"28763150","Pneumonia in the tropics","Lim TK, Siow WT.","Respirology. 2018 Jan;23(1):28-35. doi: 10.1111/resp.13137. Epub 2017 Aug 1.","Lim TK","Respirology","2018","2017/08/02","PMC7169137","","10.1111/resp.13137"
"24669859","Climate change and dengue: a critical and systematic review of quantitative modelling approaches","Naish S, Dale P, Mackenzie JS, McBride J, Mengersen K, Tong S.","BMC Infect Dis. 2014 Mar 26;14:167. doi: 10.1186/1471-2334-14-167.","Naish S","BMC Infect Dis","2014","2014/03/28","PMC3986908","","10.1186/1471-2334-14-167"
"32612364","Vietnam Climate Change and Health Vulnerability and Adaptation Assessment, 2018","Tuyet Hanh TT, Huong LTT, Huong NTL, Linh TNQ, Quyen NH, Nhung NTT, Ebi K, Cuong ND, Van Nhu H, Kien TM, Hales S, Cuong DM, Tho NTT, Toan LQ, Bich NN, Van Minh H.","Environ Health Insights. 2020 Jun 22;14:1178630220924658. doi: 10.1177/1178630220924658. eCollection 2020.","Tuyet Hanh TT","Environ Health Insights","2020","2020/07/03","PMC7309337","","10.1177/1178630220924658"
"32119666","Projecting the future of dengue under climate change scenarios: Progress, uncertainties and research needs","Xu Z, Bambrick H, Frentiu FD, Devine G, Yakob L, Williams G, Hu W.","PLoS Negl Trop Dis. 2020 Mar 2;14(3):e0008118. doi: 10.1371/journal.pntd.0008118. eCollection 2020 Mar.","Xu Z","PLoS Negl Trop Dis","2020","2020/03/03","PMC7067491","","10.1371/journal.pntd.0008118"
"26931438","Research on Climate and Dengue in Malaysia: A Systematic Review","Hii YL, Zaki RA, Aghamohammadi N, Rocklöv J.","Curr Environ Health Rep. 2016 Mar;3(1):81-90. doi: 10.1007/s40572-016-0078-z.","Hii YL","Curr Environ Health Rep","2016","2016/03/03","PMC4789198","","10.1007/s40572-016-0078-z"
"30872300","Global warming and arboviral infections","Whitehorn J, Yacoub S.","Clin Med (Lond). 2019 Mar;19(2):149-152. doi: 10.7861/clinmedicine.19-2-149.","Whitehorn J","Clin Med (Lond)","2019","2019/03/16","PMC6454362","","10.7861/clinmedicine.19-2-149"
"32758966","Dengue situation in India: Suitability and transmission potential model for present and projected climate change scenarios","Kakarla SG, Bhimala KR, Kadiri MR, Kumaraswamy S, Mutheneni SR.","Sci Total Environ. 2020 Oct 15;739:140336. doi: 10.1016/j.scitotenv.2020.140336. Epub 2020 Jun 19.","Kakarla SG","Sci Total Environ","2020","2020/08/08","","","10.1016/j.scitotenv.2020.140336"
"32698499","Global Research Output and Theme Trends on Climate Change and Infectious Diseases: A Restrospective Bibliometric and Co-Word Biclustering Investigation of Papers Indexed in PubMed (1999-2018)","Li F, Zhou H, Huang DS, Guan P.","Int J Environ Res Public Health. 2020 Jul 20;17(14):5228. doi: 10.3390/ijerph17145228.","Li F","Int J Environ Res Public Health","2020","2020/07/24","PMC7400491","","10.3390/ijerph17145228"
"25688023","Climate change influences on global distributions of dengue and chikungunya virus vectors","Campbell LP, Luther C, Moo-Llanes D, Ramsey JM, Danis-Lozano R, Peterson AT.","Philos Trans R Soc Lond B Biol Sci. 2015 Apr 5;370(1665):20140135. doi: 10.1098/rstb.2014.0135.","Campbell LP","Philos Trans R Soc Lond B Biol Sci","2015","2015/02/18","PMC4342968","","10.1098/rstb.2014.0135"
"29929827","Ocular manifestations of emerging arboviruses: Dengue fever, Chikungunya, Zika virus, West Nile virus, and yellow fever","Merle H, Donnio A, Jean-Charles A, Guyomarch J, Hage R, Najioullah F, Césaire R, Cabié A.","J Fr Ophtalmol. 2018 Jun;41(6):e235-e243. doi: 10.1016/j.jfo.2018.05.002. Epub 2018 Jun 19.","Merle H","J Fr Ophtalmol","2018","2018/06/23","","","10.1016/j.jfo.2018.05.002"
"23787891","Health effects of drought: a systematic review of the evidence","Stanke C, Kerac M, Prudhomme C, Medlock J, Murray V.","PLoS Curr. 2013 Jun 5;5:ecurrents.dis.7a2cee9e980f91ad7697b570bcc4b004. doi: 10.1371/currents.dis.7a2cee9e980f91ad7697b570bcc4b004.","Stanke C","PLoS Curr","2013","2013/06/22","PMC3682759","","10.1371/currents.dis.7a2cee9e980f91ad7697b570bcc4b004"
"20947468","Global climate change and children's health: threats and strategies for prevention","Sheffield PE, Landrigan PJ.","Environ Health Perspect. 2011 Mar;119(3):291-8. doi: 10.1289/ehp.1002233. Epub 2010 Oct 14.","Sheffield PE","Environ Health Perspect","2011","2010/10/16","PMC3059989","","10.1289/ehp.1002233"
"32569752","Climate change and viral emergence: evidence from Aedes-borne arboviruses","Robert MA, Stewart-Ibarra AM, Estallo EL.","Curr Opin Virol. 2020 Feb;40:41-47. doi: 10.1016/j.coviro.2020.05.001. Epub 2020 Jun 20.","Robert MA","Curr Opin Virol","2020","2020/06/23","PMC7305058","","10.1016/j.coviro.2020.05.001"
"32328786","Modeling and prediction of dengue occurrences in Kolkata, India, based on climate factors","Bal S, Sodoudi S.","Int J Biometeorol. 2020 Aug;64(8):1379-1391. doi: 10.1007/s00484-020-01918-9. Epub 2020 Apr 23.","Bal S","Int J Biometeorol","2020","2020/04/25","","","10.1007/s00484-020-01918-9"
"29911144","Emergence of dengue in Nepal","Gupta BP, Lamsal M, Chaulagain S, Rauniyar R, Malla R, Shrestha S, Kurmi R, Das Manandhar K.","Virusdisease. 2018 Jun;29(2):129-133. doi: 10.1007/s13337-018-0439-3. Epub 2018 Feb 17.","Gupta BP","Virusdisease","2018","2018/06/19","PMC6003061","","10.1007/s13337-018-0439-3"
"32703273","Climate change induced vulnerability and adaption for dengue incidence in Colombo and Kandy districts: the detailed investigation in Sri Lanka","Udayanga L, Gunathilaka N, Iqbal MCM, Abeyewickreme W.","Infect Dis Poverty. 2020 Jul 23;9(1):102. doi: 10.1186/s40249-020-00717-z.","Udayanga L","Infect Dis Poverty","2020","2020/07/25","PMC7376859","","10.1186/s40249-020-00717-z"
"24058050","Climate and dengue transmission: evidence and implications","Morin CW, Comrie AC, Ernst K.","Environ Health Perspect. 2013 Nov-Dec;121(11-12):1264-72. doi: 10.1289/ehp.1306556. Epub 2013 Sep 20.","Morin CW","Environ Health Perspect","2013","2013/09/24","PMC3855512","","10.1289/ehp.1306556"
"32974244","Pediatric Critical Care and the Climate Emergency: Our Responsibilities and a Call for Change","Wooldridge G, Murthy S.","Front Pediatr. 2020 Aug 20;8:472. doi: 10.3389/fped.2020.00472. eCollection 2020.","Wooldridge G","Front Pediatr","2020","2020/09/25","PMC7468581","","10.3389/fped.2020.00472"
"27482902","Climate Change and the Arboviruses: Lessons from the Evolution of the Dengue and Yellow Fever Viruses","Tabachnick WJ.","Annu Rev Virol. 2016 Sep 29;3(1):125-145. doi: 10.1146/annurev-virology-110615-035630. Epub 2016 Jul 22.","Tabachnick WJ","Annu Rev Virol","2016","2016/08/03","","","10.1146/annurev-virology-110615-035630"
"29450063","Climate change and infectious diseases","Flahault A, de Castaneda RR, Bolon I.","Public Health Rev. 2016 Oct 27;37:21. doi: 10.1186/s40985-016-0035-2. eCollection 2016.","Flahault A","Public Health Rev","2016","2018/02/17","PMC5810060","","10.1186/s40985-016-0035-2"
"25474614","Social justice, climate change, and dengue","Chang AY, Fuller DO, Carrasquillo O, Beier JC.","Health Hum Rights. 2014 Jun 14;16(1):93-104.","Chang AY","Health Hum Rights","2014","2014/12/05","","",""
"27457660","Projections of increased and decreased dengue incidence under climate change","Williams CR, Mincham G, Faddy H, Viennet E, Ritchie SA, Harley D.","Epidemiol Infect. 2016 Oct;144(14):3091-3100. doi: 10.1017/S095026881600162X. Epub 2016 Jul 26.","Williams CR","Epidemiol Infect","2016","2016/07/27","","","10.1017/S095026881600162X"
"32939230","Present and future climatic suitability for dengue fever in Africa","Sintayehu DW, Tassie N, De Boer WF.","Infect Ecol Epidemiol. 2020 Jun 19;10(1):1782042. doi: 10.1080/20008686.2020.1782042.","Sintayehu DW","Infect Ecol Epidemiol","2020","2020/09/17","PMC7480615","","10.1080/20008686.2020.1782042"
"31839187","The dengue epidemic and climate change in Nepal","Pandey BD, Costello A.","Lancet. 2019 Dec 14;394(10215):2150-2151. doi: 10.1016/S0140-6736(19)32689-3.","Pandey BD","Lancet","2019","2019/12/17","","","10.1016/S0140-6736(19)32689-3"
"27197685","Urban climate versus global climate change-what makes the difference for dengue?","Misslin R, Telle O, Daudé E, Vaguet A, Paul RE.","Ann N Y Acad Sci. 2016 Oct;1382(1):56-72. doi: 10.1111/nyas.13084. Epub 2016 May 19.","Misslin R","Ann N Y Acad Sci","2016","2016/05/21","","","10.1111/nyas.13084"
"33069704","COVID-19 pandemic, dengue epidemic, and climate change vulnerability in Bangladesh: Scenario assessment for strategic management and policy implications","Rahman MM, Bodrud-Doza M, Shammi M, Md Towfiqul Islam AR, Moniruzzaman Khan AS.","Environ Res. 2021 Jan;192:110303. doi: 10.1016/j.envres.2020.110303. Epub 2020 Oct 16.","Rahman MM","Environ Res","2021","2020/10/18","PMC7561529","","10.1016/j.envres.2020.110303"
"31296193","The threat of climate change to non-dengue-endemic countries: increasing risk of dengue transmission potential using climate and non-climate datasets","Lee JS, Farlow A.","BMC Public Health. 2019 Jul 11;19(1):934. doi: 10.1186/s12889-019-7282-3.","Lee JS","BMC Public Health","2019","2019/07/13","PMC6625070","","10.1186/s12889-019-7282-3"
"27475051","Dengue in a changing climate","Ebi KL, Nealon J.","Environ Res. 2016 Nov;151:115-123. doi: 10.1016/j.envres.2016.07.026. Epub 2016 Jul 29.","Ebi KL","Environ Res","2016","2016/08/01","","","10.1016/j.envres.2016.07.026"
"33212957","Climate Change, Water Quality and Water-Related Challenges: A Review with Focus on Pakistan","Ahmed T, Zounemat-Kermani M, Scholz M.","Int J Environ Res Public Health. 2020 Nov 17;17(22):8518. doi: 10.3390/ijerph17228518.","Ahmed T","Int J Environ Res Public Health","2020","2020/11/20","PMC7698392","","10.3390/ijerph17228518"
"32474308","Local actions to health risks of heatwaves and dengue fever under climate change: Strategies and barriers among primary healthcare professionals in southern China","Yang L, Liu C, Bi P, Vardoulakis S, Huang C.","Environ Res. 2020 Aug;187:109688. doi: 10.1016/j.envres.2020.109688. Epub 2020 May 20.","Yang L","Environ Res","2020","2020/06/01","","","10.1016/j.envres.2020.109688"
"31564731","Viral haemorrhagic fevers in the Middle East","Zakham F, Alaloui A, Levanov L, Vapalahti O.","Rev Sci Tech. 2019 May;38(1):185-198. doi: 10.20506/rst.38.1.2952.","Zakham F","Rev Sci Tech","2019","2019/10/01","","","10.20506/rst.38.1.2952"
"28775974","Animal models for dengue vaccine development and testing","Na W, Yeom M, Choi IK, Yook H, Song D.","Clin Exp Vaccine Res. 2017 Jul;6(2):104-110. doi: 10.7774/cevr.2017.6.2.104. Epub 2017 Jul 26.","Na W","Clin Exp Vaccine Res","2017","2017/08/05","PMC5540958","","10.7774/cevr.2017.6.2.104"
"32311903","Climate factors and the East Asian summer monsoon may drive large outbreaks of dengue in China","Liu K, Hou X, Ren Z, Lowe R, Wang Y, Li R, Liu X, Sun J, Lu L, Song X, Wu H, Wang J, Yao W, Zhang C, Sang S, Gao Y, Li J, Li J, Xu L, Liu Q.","Environ Res. 2020 Apr;183:109190. doi: 10.1016/j.envres.2020.109190. Epub 2020 Feb 1.","Liu K","Environ Res","2020","2020/04/22","","","10.1016/j.envres.2020.109190"
"30759739","Genetic Determinants of the Re-Emergence of Arboviral Diseases","Ketkar H, Herman D, Wang P.","Viruses. 2019 Feb 12;11(2):150. doi: 10.3390/v11020150.","Ketkar H","Viruses","2019","2019/02/15","PMC6410223","","10.3390/v11020150"
"25872683","Clustering, climate and dengue transmission","Junxiong P, Yee-Sin L.","Expert Rev Anti Infect Ther. 2015 Jun;13(6):731-40. doi: 10.1586/14787210.2015.1028364. Epub 2015 Apr 15.","Junxiong P","Expert Rev Anti Infect Ther","2015","2015/04/16","","","10.1586/14787210.2015.1028364"
"31701852","Dengue Incidence and Sociodemographic Conditions in Pucallpa, Peruvian Amazon: What Role for Modification of the Dengue-Temperature Relationship?","Charette M, Berrang-Ford L, Coomes O, Llanos-Cuentas EA, Cárcamo C, Kulkarni M, Harper SL.","Am J Trop Med Hyg. 2020 Jan;102(1):180-190. doi: 10.4269/ajtmh.19-0033.","Charette M","Am J Trop Med Hyg","2020","2019/11/09","PMC6947766","","10.4269/ajtmh.19-0033"
"30347771","Climate Change Adaptation through the Water-Energy-Food Nexus in Southern Africa","Mpandeli S, Naidoo D, Mabhaudhi T, Nhemachena C, Nhamo L, Liphadzi S, Hlahla S, Modi AT.","Int J Environ Res Public Health. 2018 Oct 19;15(10):2306. doi: 10.3390/ijerph15102306.","Mpandeli S","Int J Environ Res Public Health","2018","2018/10/24","PMC6210720","","10.3390/ijerph15102306"
"31340512","Scoping Review of Climate Change and Health Research in the Philippines: A Complementary Tool in Research Agenda-Setting","Chua PL, Dorotan MM, Sigua JA, Estanislao RD, Hashizume M, Salazar MA.","Int J Environ Res Public Health. 2019 Jul 23;16(14):2624. doi: 10.3390/ijerph16142624.","Chua PL","Int J Environ Res Public Health","2019","2019/07/26","PMC6679087","","10.3390/ijerph16142624"
"31175008","Temperature impacts on dengue emergence in the United States: Investigating the role of seasonality and climate change","Robert MA, Christofferson RC, Weber PD, Wearing HJ.","Epidemics. 2019 Sep;28:100344. doi: 10.1016/j.epidem.2019.05.003. Epub 2019 Jun 5.","Robert MA","Epidemics","2019","2019/06/09","PMC6791375","NIHMS1538855","10.1016/j.epidem.2019.05.003"
"29953493","Potential effects of climate change on dengue transmission dynamics in Korea","Lee H, Kim JE, Lee S, Lee CH.","PLoS One. 2018 Jun 28;13(6):e0199205. doi: 10.1371/journal.pone.0199205. eCollection 2018.","Lee H","PLoS One","2018","2018/06/29","PMC6023222","","10.1371/journal.pone.0199205"
"32977703","Dengue and Zika Viruses: Epidemiological History, Potential Therapies, and Promising Vaccines","Silva NM, Santos NC, Martins IC.","Trop Med Infect Dis. 2020 Sep 23;5(4):150. doi: 10.3390/tropicalmed5040150.","Silva NM","Trop Med Infect Dis","2020","2020/09/26","PMC7709709","","10.3390/tropicalmed5040150"
"32361079","Assessing and modelling vulnerability to dengue in the Mekong Delta of Vietnam by geospatial and time-series approaches","Pham NTT, Nguyen CT, Vu HH.","Environ Res. 2020 Jul;186:109545. doi: 10.1016/j.envres.2020.109545. Epub 2020 Apr 23.","Pham NTT","Environ Res","2020","2020/05/04","","","10.1016/j.envres.2020.109545"
"33365050","Chromatin Structure and Function in Mosquitoes","Lezcano ÓM, Sánchez-Polo M, Ruiz JL, Gómez-Díaz E.","Front Genet. 2020 Dec 7;11:602949. doi: 10.3389/fgene.2020.602949. eCollection 2020.","Lezcano ÓM","Front Genet","2020","2020/12/28","PMC7750206","","10.3389/fgene.2020.602949"
"31887118","A dengue fever predicting model based on Baidu search index data and climate data in South China","Liu D, Guo S, Zou M, Chen C, Deng F, Xie Z, Hu S, Wu L.","PLoS One. 2019 Dec 30;14(12):e0226841. doi: 10.1371/journal.pone.0226841. eCollection 2019.","Liu D","PLoS One","2019","2019/12/31","PMC6936853","","10.1371/journal.pone.0226841"
"31249824","Estimating Past, Present, and Future Trends in the Global Distribution and Abundance of the Arbovirus Vector Aedes aegypti Under Climate Change Scenarios","Liu-Helmersson J, Brännström Å, Sewe MO, Semenza JC, Rocklöv J.","Front Public Health. 2019 Jun 12;7:148. doi: 10.3389/fpubh.2019.00148. eCollection 2019.","Liu-Helmersson J","Front Public Health","2019","2019/06/29","PMC6582658","","10.3389/fpubh.2019.00148"
"31261672","Modeling and Predicting Dengue Incidence in Highly Vulnerable Countries using Panel Data Approach","Anwar A, Khan N, Ayub M, Nawaz F, Shah A, Flahault A.","Int J Environ Res Public Health. 2019 Jun 28;16(13):2296. doi: 10.3390/ijerph16132296.","Anwar A","Int J Environ Res Public Health","2019","2019/07/03","PMC6650977","","10.3390/ijerph16132296"
"17803458","Dengue virus-mosquito interactions","Halstead SB.","Annu Rev Entomol. 2008;53:273-91. doi: 10.1146/annurev.ento.53.103106.093326.","Halstead SB","Annu Rev Entomol","2008","2007/09/07","","","10.1146/annurev.ento.53.103106.093326"
"32810503","Environmental drivers, climate change and emergent diseases transmitted by mosquitoes and their vectors in southern Europe: A systematic review","Brugueras S, Fernández-Martínez B, Martínez-de la Puente J, Figuerola J, Porro TM, Rius C, Larrauri A, Gómez-Barroso D.","Environ Res. 2020 Dec;191:110038. doi: 10.1016/j.envres.2020.110038. Epub 2020 Aug 15.","Brugueras S","Environ Res","2020","2020/08/19","","","10.1016/j.envres.2020.110038"
"30541601","Data and tools to integrate climate and environmental information into public health","Ceccato P, Ramirez B, Manyangadze T, Gwakisa P, Thomson MC.","Infect Dis Poverty. 2018 Nov 29;7(1):126. doi: 10.1186/s40249-018-0501-9.","Ceccato P","Infect Dis Poverty","2018","2018/12/14","PMC6292116","","10.1186/s40249-018-0501-9"
"32741233","Transmission dynamics of dengue and chikungunya in a changing climate: do we understand the eco-evolutionary response?","Tozan Y, Sjödin H, Muñoz ÁG, Rocklöv J.","Expert Rev Anti Infect Ther. 2020 Dec;18(12):1187-1193. doi: 10.1080/14787210.2020.1794814. Epub 2020 Aug 1.","Tozan Y","Expert Rev Anti Infect Ther","2020","2020/08/04","","","10.1080/14787210.2020.1794814"
"27322480","Climate Change and Aedes Vectors: 21st Century Projections for Dengue Transmission in Europe","Liu-Helmersson J, Quam M, Wilder-Smith A, Stenlund H, Ebi K, Massad E, Rocklöv J.","EBioMedicine. 2016 May;7:267-77. doi: 10.1016/j.ebiom.2016.03.046. Epub 2016 Apr 2.","Liu-Helmersson J","EBioMedicine","2016","2016/06/21","PMC4909611","","10.1016/j.ebiom.2016.03.046"
"31256248","Non-parametric tests and multivariate analysis applied to reported dengue cases in Brazil","de Oliveira-Júnior JF, Gois G, da Silva EB, Teodoro PE, Johann JA, Junior CAS.","Environ Monit Assess. 2019 Jun 29;191(7):473. doi: 10.1007/s10661-019-7583-0.","de Oliveira-Júnior JF","Environ Monit Assess","2019","2019/07/01","","","10.1007/s10661-019-7583-0"
"31373583","Dengue Cases in Colombia: Mathematical Forecasts for 2018-2022","López-Montenegro LE, Pulecio-Montoya AM, Marcillo-Hernández GA.","MEDICC Rev. 2019 Apr-Jul;21(2-3):38-45.","López-Montenegro LE","MEDICC Rev","2019","2019/08/03","","",""
"28441781","Dengue Virus Non-Structural Protein 5","El Sahili A, Lescar J.","Viruses. 2017 Apr 24;9(4):91. doi: 10.3390/v9040091.","El Sahili A","Viruses","2017","2017/04/27","PMC5408697","","10.3390/v9040091"
"24893017","Climate change and the potential global distribution of Aedes aegypti: spatial modelling using GIS and CLIMEX","Khormi HM, Kumar L.","Geospat Health. 2014 May;8(2):405-15. doi: 10.4081/gh.2014.29.","Khormi HM","Geospat Health","2014","2014/06/04","","","10.4081/gh.2014.29"
